ticker,user,fields,schedule,enabled,owner,currency,kind,curve_code,tenor,notes
KLIB3M INDEX,shared_term,PX_LAST,daily,true,AD,MYR,IRS,MYR-KLIBOR-3M,3M,
MRSWNIF BLC3 CURNCY,shared_term,PX_LAST,daily,true,AD,MYR,IRS,MYR-KLIBOR-3M,6M,
MRSWNII BLC3 CURNCY,shared_term,PX_LAST,daily,true,AD,MYR,IRS,MYR-KLIBOR-3M,9M,
MRSWNI1 BLC3 CURNCY,shared_term,PX_LAST,daily,true,AD,MYR,IRS,MYR-KLIBOR-3M,1Y,
MRSWNI2 BLC3 CURNCY,shared_term,PX_LAST,daily,true,AD,MYR,IRS,MYR-KLIBOR-3M,2Y,
MRSWNI3 BLC3 CURNCY,shared_term,PX_LAST,daily,true,AD,MYR,IRS,MYR-KLIBOR-3M,3Y,
MRSWNI4 BLC3 CURNCY,shared_term,PX_LAST,daily,true,AD,MYR,IRS,MYR-KLIBOR-3M,4Y,
MRSWNI5 BLC3 CURNCY,shared_term,PX_LAST,daily,true,AD,MYR,IRS,MYR-KLIBOR-3M,5Y,
MRSWNI7 BLC3 CURNCY,shared_term,PX_LAST,daily,true,AD,MYR,IRS,MYR-KLIBOR-3M,7Y,
MRSWNI10 BLC3 CURNCY,shared_term,PX_LAST,daily,true,AD,MYR,IRS,MYR-KLIBOR-3M,10Y,
MRSWNI12 BLC3 CURNCY,shared_term,PX_LAST,daily,true,AD,MYR,IRS,MYR-KLIBOR-3M,12Y,
MRSWNI15 BLC3 CURNCY,shared_term,PX_LAST,daily,true,AD,MYR,IRS,MYR-KLIBOR-3M,15Y,
NDBB3M Curncy,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,3M,
NDSWF CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,6M,
NDSWI CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,9M,
NDSWAP1 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,1Y,
NDSWAP2 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,2Y,
NDSWAP3 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,3Y,
NDSWAP4 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,4Y,
NDSWAP5 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,5Y,
NDSWAP6 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,6Y,
NDSWAP7 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,7Y,
NDSWAP10 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,10Y,
NDSWAP12 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,12Y,
NDSWAP15 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,15Y,
NDSWAP20 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,NZD,IRS,NZD-BKBM-3M,20Y,
TAIBOR3M index,shared_term,PX_LAST,daily,true,AD,TWD,IRS,TWD-TAIBOR-3M,3M,
TDSWNIF Curncy,shared_term,PX_LAST,daily,true,AD,TWD,IRS,TWD-TAIBOR-3M,6M,
TDSWNI1 Curncy,shared_term,PX_LAST,daily,true,AD,TWD,IRS,TWD-TAIBOR-3M,1Y,
TDSWNI2 Curncy,shared_term,PX_LAST,daily,true,AD,TWD,IRS,TWD-TAIBOR-3M,2Y,
TDSWNI3 Curncy,shared_term,PX_LAST,daily,true,AD,TWD,IRS,TWD-TAIBOR-3M,3Y,
TDSWNI4 Curncy,shared_term,PX_LAST,daily,true,AD,TWD,IRS,TWD-TAIBOR-3M,4Y,
TDSWNI5 Curncy,shared_term,PX_LAST,daily,true,AD,TWD,IRS,TWD-TAIBOR-3M,5Y,
TDSWNI7 Curncy,shared_term,PX_LAST,daily,true,AD,TWD,IRS,TWD-TAIBOR-3M,7Y,
TDSWNI10 Curncy,shared_term,PX_LAST,daily,true,AD,TWD,IRS,TWD-TAIBOR-3M,10Y,
TDSWNI12 Curncy,shared_term,PX_LAST,daily,true,AD,TWD,IRS,TWD-TAIBOR-3M,12Y,
TDSWNI15 Curncy,shared_term,PX_LAST,daily,true,AD,TWD,IRS,TWD-TAIBOR-3M,15Y,
RBACOR Index,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,1D,
ADSO1Z BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,1W,
ADSOA BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,4W,
ADSOB BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,2M,
ADSOC BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,3M,
ADSOD BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,4M,
ADSOE BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,5M,
ADSOF BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,6M,
ADSOI BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,9M,
ADSO1 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,1Y,
ADSO1F BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,18M,
ADSO2 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,2Y,
ADSO3 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,3Y,
ADSO4 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,4Y,
ADSO5 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,5Y,
ADSO6 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,6Y,
ADSO7 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,7Y,
ADSO8 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,8Y,
ADSO9 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,9Y,
ADSO10 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,10Y,
ADSO12 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,12Y,
ADSO15 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,15Y,
ADSO20 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,20Y,
ADSO25 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,25Y,
ADSO30 BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,OIS,AUD-AONIA-ON,30Y,
CAONREPO INDEX,shared_term,PX_LAST,daily,true,AD,CAD,OIS,CAD-CORRA-ON,0,
