ticker,user,schedule,enabled,owner,domain,kind,currency,country,curve_code,tenor,quote_type,source_file
NDSWAP3 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,3Y,YIELD,tickers/rates.csv
NDSWAP4 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,4Y,YIELD,tickers/rates.csv
NDSWAP5 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,5Y,YIELD,tickers/rates.csv
NDSWAP6 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,6Y,YIELD,tickers/rates.csv
NDSWAP7 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,7Y,YIELD,tickers/rates.csv
NDSWAP10 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,10Y,YIELD,tickers/rates.csv
NDSWAP12 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,12Y,YIELD,tickers/rates.csv
NDSWAP15 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,15Y,YIELD,tickers/rates.csv
NDSWAP20 CMPN CURNCY,shared_term,daily,true,AD,rates,IRS,NZD,,NZD-BKBM-3M,20Y,YIELD,tickers/rates.csv
TAIBOR3M index,shared_term,daily,true,AD,rates,IRS,TWD,,TWD-TAIBOR-3M,3M,YIELD,tickers/rates.csv
TDSWNIF Curncy,shared_term,daily,true,AD,rates,IRS,TWD,,TWD-TAIBOR-3M,6M,YIELD,tickers/rates.csv
TDSWNI1 Curncy,shared_term,daily,true,AD,rates,IRS,TWD,,TWD-TAIBOR-3M,1Y,YIELD,tickers/rates.csv
TDSWNI2 Curncy,shared_term,daily,true,AD,rates,IRS,TWD,,TWD-TAIBOR-3M,2Y,YIELD,tickers/rates.csv
TDSWNI3 Curncy,shared_term,daily,true,AD,rates,IRS,TWD,,TWD-TAIBOR-3M,3Y,YIELD,tickers/rates.csv
TDSWNI4 Curncy,shared_term,daily,true,AD,rates,IRS,TWD,,TWD-TAIBOR-3M,4Y,YIELD,tickers/rates.csv
TDSWNI5 Curncy,shared_term,daily,true,AD,rates,IRS,TWD,,TWD-TAIBOR-3M,5Y,YIELD,tickers/rates.csv
TDSWNI7 Curncy,shared_term,daily,true,AD,rates,IRS,TWD,,TWD-TAIBOR-3M,7Y,YIELD,tickers/rates.csv
TDSWNI10 Curncy,shared_term,daily,true,AD,rates,IRS,TWD,,TWD-TAIBOR-3M,10Y,YIELD,tickers/rates.csv
TDSWNI12 Curncy,shared_term,daily,true,AD,rates,IRS,TWD,,TWD-TAIBOR-3M,12Y,YIELD,tickers/rates.csv
TDSWNI15 Curncy,shared_term,daily,true,AD,rates,IRS,TWD,,TWD-TAIBOR-3M,15Y,YIELD,tickers/rates.csv
RBACOR Index,shared_term,daily,true,AD,rates,OIS,AUD,,AUD-AONIA-ON,1D,YIELD,tickers/rates.csv
ADSO1Z BGN Curncy,shared_term,daily,true,AD,rates,OIS,AUD,,AUD-AONIA-ON,1W,YIELD,tickers/rates.csv
ADSOA BGN Curncy,shared_term,daily,true,AD,rates,OIS,AUD,,AUD-AONIA-ON,4W,YIELD,tickers/rates.csv
ADSOB BGN Curncy,shared_term,daily,true,AD,rates,OIS,AUD,,AUD-AONIA-ON,2M,YIELD,tickers/rates.csv
ADSOC BGN Curncy,shared_term,daily,true,AD,rates,OIS,AUD,,AUD-AONIA-ON,3M,YIELD,tickers/rates.csv
ADSOD BGN Curncy,shared_term,daily,true,AD,rates,OIS,AUD,,AUD-AONIA-ON,4M,YIELD,tickers/rates.csv
ADSOE BGN Curncy,shared_term,daily,true,AD,rates,OIS,AUD,,AUD-AONIA-ON,5M,YIELD,tickers/rates.csv
ADSOF BGN Curncy,shared_term,daily,true,AD,rates,OIS,AUD,,AUD-AONIA-ON,6M,YIELD,tickers/rates.csv
ADSOI BGN Curncy,shared_term,daily,true,AD,rates,OIS,AUD,,AUD-AONIA-ON,9M,YIELD,tickers/rates.csv
ADSO1 BGN Curncy,shared_term,daily,true,AD,rates,OIS,AUD,,AUD-AONIA-ON,1Y,YIELD,tickers/rates.csv
ADSO1F BGN Curncy,shared_term,daily,true,AD,rates,OIS,AUD,,AUD-AONIA-ON,18M,YIELD,tickers/rates.csv
ADSO2 BGN Curncy,shared_term,daily,true,AD,rates,OIS,AUD,,AUD-AONIA-ON,2Y,YIELD,tickers/rates.csv
ADSO3 BGN Curncy,shared_term,daily,true,AD,rates,OIS,AUD,,AUD-AONIA-ON,3Y,YIELD,tickers/rates.csv
